,For_0,For_1
0,1.9924005,6.817142
1,11.484083,5.191471
2,17.073544,1.5362276
3,4.819248,11.545212
4,13.923903,3.7064285
5,2.4757519,11.213877
6,12.066921,4.8368607
7,15.773073,4.660594
8,3.325346,6.8077145
9,7.507692,13.929804
10,5.66187,11.120216
11,7.356023,9.356592
12,5.9866734,15.742316
13,7.6249485,9.761709
14,1.1918116,8.68203
15,7.972094,8.100303
16,16.326656,3.1185658
17,8.150235,2.5495176
18,15.927692,2.1447864
19,2.1961465,11.290893
20,3.8648248,8.590118
21,10.779869,9.30489
22,3.193637,8.235352
23,2.6589012,7.1769404
24,15.127032,2.3563566
25,11.130337,8.610789
26,2.7088642,13.37247
27,11.431034,3.7926645
28,14.802492,4.543009
29,2.5008743,12.92981
30,3.5714562,4.2974796
31,11.7876835,6.4860964
32,12.010939,8.42177
33,3.344209,7.9533033
34,13.369034,4.7914166
35,3.1654172,6.4558353
36,12.171131,6.9567065
37,3.8873649,7.4095545
38,8.600336,11.053544
39,3.8353698,9.077242
40,15.6567745,4.620787
41,17.003132,1.9567771
42,10.633974,3.2098083
43,4.3455772,7.972785
44,9.5780525,9.003508
45,11.747711,6.9303975
46,1.5324273,11.022192
47,4.128804,13.0503845
48,2.066166,12.330164
49,15.836887,2.3731847
50,15.061296,3.3231044
51,3.0334735,6.1314487
52,2.406159,6.7331777
53,3.6785703,9.045829
54,3.131771,7.3354826
55,17.109869,2.418254
56,16.443691,2.8129532
57,9.668685,10.250448
58,5.9949856,11.588732
59,2.891551,14.643171
60,16.582375,2.135623
61,12.389017,5.4427876
62,3.207124,8.300241
63,11.7043295,7.4986916
64,2.9304624,8.170687
65,12.377274,5.6348906
66,15.346827,5.281858
67,4.8850174,12.813984
68,11.424663,4.914691
69,8.081381,12.711391
70,3.6450586,7.695779
71,3.4252288,11.882748
72,3.8327236,7.2451067
73,8.7367115,8.833034
74,3.1356,6.029953
75,3.7441778,9.644939
76,14.501932,2.8558617
77,16.520763,2.700605
78,3.6001244,7.7299147
79,4.9137197,9.433536
80,3.7397914,4.8412714
81,14.748623,5.4494267
82,3.299838,6.144635
83,1.3682864,8.196423
84,16.614286,3.0640848
85,15.743804,3.3919597
86,8.128482,8.3343525
87,3.2743287,6.591026
88,12.826277,5.4041605
89,3.2867992,8.801778
90,15.359301,5.202156
91,3.9062347,6.936761
92,13.354434,4.8723197
93,3.130319,7.1178665
94,3.4997005,7.823989
95,6.6199794,13.206238
96,3.6607695,5.5932903
97,16.780949,2.3871427
98,11.746422,6.113433
99,9.859001,9.497341
100,16.260674,2.3317719
101,15.955948,3.109597
102,10.821445,2.5649118
103,9.443922,9.349568
104,14.196931,4.771123
105,5.0316763,7.6848555
106,3.5964336,8.0999565
107,16.446356,1.6306769
108,14.330162,2.9115076
109,15.238058,1.7464156
110,5.8405743,14.634528
111,3.6883006,6.46473
112,10.977583,4.3732
113,2.7315867,5.994985
114,15.551399,1.9306515
115,4.7284594,12.431604
116,10.669184,6.2305984
117,11.695557,7.135535
118,0.046833917,14.629393
119,3.2090225,7.468872
120,3.2866979,7.130495
121,16.60787,2.3711329
122,4.1315827,8.216966
123,4.2383065,8.050849
124,14.899242,2.4150085
125,3.229978,11.146858
126,15.179236,5.379468
127,2.8878484,7.3536577
128,3.3774483,7.4883003
129,3.7116375,4.553587
130,3.443218,8.834711
131,11.918174,2.3853908
132,4.135051,7.202673
133,3.6795552,11.9441185
134,3.097147,5.803547
135,3.030503,8.239337
136,12.256744,3.1143594
137,10.447123,5.4262257
138,11.801792,7.7612247
139,3.309576,6.531062
140,2.7530038,8.52583
141,15.385832,4.9414663
142,13.933418,4.2150836
143,13.759254,6.466467
144,3.4454033,11.034269
145,3.8655362,7.6381955
146,16.981804,2.3496685
147,16.804312,2.2697513
148,6.121133,11.147382
149,3.1438985,7.101096
150,10.8539095,6.6417913
151,13.520878,7.5267916
152,15.881969,3.0870237
153,3.2164047,6.5302896
154,3.9806392,13.70262
155,2.6412992,7.088566
156,15.020614,2.9332757
157,7.8345065,12.3386345
158,16.2053,2.5729713
159,3.769088,15.369672
160,2.0711603,14.792235
161,3.5097785,7.63061
162,2.6782422,7.941372
163,3.441391,6.1086006
164,12.110357,4.630164
165,3.874569,7.332108
166,15.479503,2.2206082
167,9.987963,8.398018
168,7.187553,15.227964
169,9.067162,7.0290747
170,3.5932446,12.677303
171,7.662685,11.717562
172,8.408649,7.4954205
173,4.485443,7.186719
174,2.8888264,6.617173
175,15.69808,1.9659078
176,15.722687,4.7671313
177,16.29985,2.988202
178,8.966757,7.1820545
179,3.728328,7.6457033
180,12.875339,6.556162
181,10.691265,5.2635393
182,10.464041,7.9104977
183,7.2795305,13.696262
184,8.735285,11.747378
185,3.5880778,8.877771
186,2.7309375,8.4076395
187,3.5233042,6.0616493
188,4.0030327,6.3641577
189,2.8778324,7.7614956
190,16.48141,3.1252067
191,15.6476755,1.9872574
192,14.402836,3.620267
193,3.5255184,10.481264
194,3.3742013,8.743069
195,8.756913,13.079334
196,1.5336709,7.0427823
197,7.906255,10.31423
198,11.571511,8.622085
199,14.575195,3.6962736
200,2.9714258,11.577417
201,5.6913195,11.845991
202,16.8698,1.5782299
203,3.519457,8.433071
204,6.8910823,12.305317
205,16.24741,1.8387164
206,10.247229,7.6431327
207,3.9001808,6.9536786
208,6.370451,10.016465
209,11.443197,6.0832615
210,12.281132,4.5203524
211,10.821828,6.0912733
212,16.801643,1.9974023
213,13.787532,3.4561486
214,1.2185174,13.532827
215,3.9263024,7.6320524
216,2.17919,12.82534
217,8.635445,10.977364
218,9.998392,9.108611
219,14.439457,5.8464384
220,14.588285,2.5398927
221,10.3159275,7.2211103
222,8.933607,12.041794
223,3.1793747,7.247124
224,9.477314,12.120522
225,3.261716,7.857835
226,14.557306,5.0171747
227,10.806776,0.80876166
228,3.145113,6.696781
229,3.1333003,9.533974
230,11.009994,5.9099474
231,10.626558,6.9788594
232,3.5860898,10.345791
233,10.618979,6.4774055
234,4.89441,9.753368
235,3.5370135,7.632971
236,3.70413,13.127703
237,15.0377035,4.6284037
238,10.224775,6.6503096
239,12.503204,6.9995613
240,13.565056,2.6578505
241,3.1396813,7.0998516
242,9.362648,8.366051
243,1.6052487,12.70291
244,8.178354,11.626127
245,4.316275,6.634707
246,3.6997871,2.4569416
247,16.449224,2.4644191
248,7.535633,9.497385
249,11.358868,6.828312
250,4.850955,14.010407
251,15.0011215,4.227802
252,13.438595,5.3423147
253,2.678184,9.78387
254,9.005524,10.522928
255,3.7250595,6.7287154
256,3.7263474,4.411708
257,3.4592888,7.8817096
258,11.294897,9.305402
259,17.0066,2.4922562
260,6.539772,11.683338
261,3.285636,7.5942287
262,15.86784,3.0346317
263,15.626624,2.5526674
264,8.924054,12.309233
265,3.5582528,7.488731
266,6.991085,12.806034
267,3.044252,10.956633
268,10.824841,2.510559
269,14.564741,5.98306
270,2.8487644,5.67991
271,2.8047352,6.532794
272,11.985398,9.032591
273,3.3978717,6.642385
274,16.31563,2.2406557
275,1.8037671,12.99881
276,11.81848,7.9504294
277,3.3244221,13.957548
278,3.4240923,9.121279
279,8.975899,9.185682
280,0.35963988,14.922018
281,14.353184,5.538271
282,17.037403,1.8287913
283,4.115986,7.0779753
284,2.1611502,12.598325
285,3.3786411,10.02887
286,3.802988,6.6296906
287,12.949146,6.400734
288,16.34948,2.4299684
289,7.7341557,13.816463
290,12.132053,6.2437353
291,3.5475683,8.661402
292,2.1823025,13.857128
293,12.630539,6.352664
294,11.674007,6.9685583
295,12.225997,3.9200144
296,3.6222434,8.09725
297,6.472738,11.719803
298,3.3435564,7.2220955
299,10.103674,4.0987134
300,10.849093,2.8230715
301,12.774136,6.345703
302,16.318966,1.5874696
303,2.637914,7.6748056
304,4.2663803,7.0089493
305,14.741721,3.2441647
306,12.983411,3.357511
307,12.3954315,5.9549828
308,7.152572,11.761478
309,15.833,3.3069775
310,7.391249,10.961508
311,16.394161,1.8422949
312,3.815336,9.791992
313,10.085961,1.914964
314,13.546995,2.9796228
315,4.254544,7.828302
316,16.309519,3.2473118
317,11.375968,5.7349443
318,6.548392,10.319902
319,5.316579,12.339768
320,7.195154,11.814438
321,2.4931655,10.860784
322,2.0312967,6.855559
323,14.616935,5.057682
324,4.909573,13.107092
325,3.5833921,5.1207724
326,3.7722607,8.479727
327,3.8301227,6.4220047
328,15.456037,3.5856457
329,16.794954,2.7003188
330,15.352619,4.3576574
331,3.9134846,12.138227
332,3.7776613,8.0835905
333,9.431973,9.640537
334,10.206582,1.3935916
335,15.714159,2.1567373
336,14.143193,3.862104
337,8.1679,11.201601
338,10.584398,1.9202023
339,2.2093065,13.58531
340,16.451565,2.5748231
341,3.9030023,15.187557
342,6.8476086,11.343439
343,3.1310112,7.7397757
344,14.460802,2.7406325
345,6.2889433,7.101029
346,12.209217,10.158843
347,4.38692,14.443621
348,5.959296,13.584667
349,3.7760043,8.303209
350,11.538033,6.4840813
351,15.098687,2.703442
352,16.144415,2.2200508
353,8.265821,11.43912
354,12.204429,4.207513
355,3.209361,6.720734
356,10.244105,6.5556026
357,10.112904,5.6973534
358,9.298784,8.090448
359,15.522587,1.9914502
360,5.52248,15.830266
361,11.474678,1.6784513
362,13.333515,3.0227063
363,16.595055,1.1179192
364,5.708659,12.143546
365,3.0183437,7.9021845
366,4.1362095,12.386665
367,11.5392475,2.227626
368,14.3227825,6.6203203
369,9.709749,6.463793
370,12.847259,5.6172953
371,14.768131,2.5077777
372,3.0977643,8.53665
373,3.0062451,6.8859577
374,5.909101,11.5817995
375,13.997454,6.1917562
376,15.664417,3.0163684
377,3.7410903,7.571211
378,5.4583554,10.531156
379,4.3328624,10.045437
380,3.1649008,3.794269
381,4.037402,7.382922
382,13.652445,5.051427
383,13.3797455,5.1759953
384,11.361185,5.236684
385,15.962423,1.7795969
386,7.046782,10.808384
387,3.484489,9.11053
388,16.282797,2.3214304
389,9.043181,10.520395
390,3.5863695,13.965817
391,14.606956,2.5451496
392,5.260405,12.590504
393,11.048813,8.800329
394,16.50357,2.3082187
395,3.0753908,6.4299746
396,4.5526776,7.5915365
397,1.9973625,14.363485
398,3.665067,2.7833817
399,3.951195,6.3638287
400,4.6334696,12.171557
401,15.719349,3.6217344
402,10.632864,6.154275
403,4.083986,6.8293314
404,3.3246984,11.529431
405,2.9797976,6.381637
406,3.5185263,14.345109
407,3.8299694,5.2759438
408,9.207191,7.9275737
409,10.910249,5.7748275
410,3.8396268,9.428252
411,3.800347,13.478899
412,3.5131373,6.627043
413,16.270178,2.1149714
414,16.131924,2.4826293
415,0.9810545,9.116758
416,3.8463426,5.3677063
417,3.2358468,6.4879203
418,2.2736344,11.580662
419,9.515633,11.305103
420,3.6536033,12.497387
421,3.1409554,9.827325
422,3.9070191,12.337885
423,3.3668752,12.997026
424,3.4904037,8.748116
425,10.103046,7.6185136
426,3.2931175,4.220089
427,17.658745,2.9932404
428,7.667325,10.770419
429,8.417269,9.829146
430,11.940575,6.4272585
431,3.9836452,6.4403324
432,3.5556037,8.789619
433,10.850864,2.1424737
434,7.104231,12.406811
435,15.39117,2.6343412
436,8.382694,3.4432204
437,2.9969258,6.9051094
438,4.383102,13.145365
439,9.641039,8.5003605
440,2.502118,14.820494
441,1.760908,15.097138
442,10.165285,6.7240353
443,4.2139406,7.367283
444,11.267728,6.013337
445,14.739094,2.3085628
446,11.200762,1.9768784
447,4.5413055,3.4996598
448,9.7035885,1.4481002
449,3.4997525,5.2094946
450,4.7236466,14.336779
451,3.6765625,11.983303
452,17.018667,2.0351803
453,6.332402,8.316625
454,3.590698,8.626987
455,3.6838515,14.572175
456,6.8131847,8.524158
457,0.012545664,15.068628
458,17.204216,1.5976827
459,12.005165,3.7848318
460,3.5179982,7.429451
461,1.3703315,8.792845
462,3.096169,7.143653
463,1.1159008,12.8432045
464,4.85448,8.090414
465,16.785927,2.568049
466,3.4406674,8.697727
467,7.740288,9.268202
468,4.156295,7.2491875
469,2.6519628,6.679541
470,6.9118986,11.047356
471,9.485014,13.218349
472,3.922273,3.7490609
473,5.2856927,14.424664
474,11.364041,4.277029
475,4.7001085,13.416185
476,4.234725,8.589436
477,0.88316864,13.114389
478,0.03008915,14.721088
479,2.5887668,12.090927
480,3.0832767,7.703147
481,12.026779,7.670041
482,2.976821,6.436735
483,11.072344,7.5456724
484,2.8569722,6.632185
485,12.7042465,6.9930406
486,3.4270384,7.369258
487,12.328875,6.958075
488,10.897898,7.2378592
489,15.561705,4.9578276
490,13.953644,4.041853
491,2.4114454,15.125555
492,17.09469,1.2183255
493,2.503591,14.644937
494,3.568347,7.0997944
495,3.3334472,8.765954
496,9.538971,7.2335634
497,15.14531,3.8080153
498,3.457474,5.5894656
499,10.751419,1.7223716
500,3.5151658,7.2799673
501,15.686249,1.9350507
502,13.9002075,3.6639676
503,2.311345,6.357811
504,16.692726,2.3545423
505,13.660667,5.2516794
506,3.1380184,9.424521
507,14.207237,3.366682
508,3.4676485,9.948213
509,8.66293,8.573976
510,1.494797,13.081844
511,12.784742,6.036635
512,3.1714191,6.675086
513,4.0700912,7.6706467
514,14.131647,4.5828032
515,8.045524,15.170214
516,12.593229,5.309022
517,3.8463979,8.111055
518,2.8008273,8.299859
519,10.497419,10.023209
520,5.4981976,13.103912
521,14.700579,4.619393
522,3.223115,7.135988
523,12.336178,4.391865
524,3.0418434,8.713922
525,2.709382,13.748816
526,11.124367,7.5826273
527,3.4668326,5.1439314
528,10.766968,5.9840803
529,2.9353907,8.830385
530,11.863108,4.739457
531,2.9304273,7.097906
532,5.9649935,11.057306
533,8.6777725,9.835291
534,4.527366,16.089735
535,16.222198,2.4572334
536,14.177191,3.304752
537,9.583817,6.6140404
538,5.7536683,9.195384
539,4.3282833,7.2500286
540,7.015596,8.076873
541,11.251343,9.656797
542,6.035191,8.59559
543,16.9513,2.1020522
544,3.1078408,8.245716
545,7.90071,8.586952
546,11.327315,7.3554354
547,4.2043986,6.8740034
548,16.821573,1.7921371
549,13.069498,4.7796273
550,15.299984,2.1336398
551,15.280836,3.281817
552,3.649438,6.215213
553,13.281727,5.65127
554,10.272874,6.6249065
555,12.580637,8.5526495
556,3.1176991,8.257037
557,3.353222,6.4135623
558,2.0734289,13.907235
559,3.5974512,3.9704306
560,10.9415245,7.1723895
561,3.7548077,6.755678
562,12.18398,6.189335
563,10.388821,8.524415
564,0.8214609,12.548893
565,13.400562,7.07798
566,2.0467196,12.75502
567,15.720497,1.5900414
568,11.598106,4.4391146
569,3.042756,6.0098205
570,16.697998,1.715994
571,3.412574,14.474113
572,12.309141,4.392353
573,13.944181,5.8625193
574,2.8986292,6.566684
575,15.523243,3.2556834
576,2.8637137,7.728203
577,3.2644358,7.9602838
578,3.5015507,3.6543443
579,12.228659,6.0763497
580,10.095524,10.2608
